"blacklist";"list";"ipv"
"5.188.206.3";"apache";"ipv4"
"5.188.206.4";"apache";"ipv4"
"5.188.206.5";"apache";"ipv4"
"5.188.206.6";"apache";"ipv4"
"50.116.97.51";"apache";"ipv4"
"50.230.160.35";"apache";"ipv4"
"50.62.57.15";"apache";"ipv4"
"51.159.70.226";"apache";"ipv4"
"51.161.34.111";"apache";"ipv4"
"51.178.53.9";"apache";"ipv4"
"51.178.64.83";"apache";"ipv4"
"51.195.166.166";"apache";"ipv4"
"51.210.34.150";"apache";"ipv4"
"51.222.9.32";"apache";"ipv4"
"51.38.41.19";"apache";"ipv4"
"51.68.79.121";"apache";"ipv4"
"51.79.180.244";"apache";"ipv4"
"51.81.174.230";"apache";"ipv4"
"51.83.128.10";"apache";"ipv4"
"52.125.140.5";"apache";"ipv4"
"52.125.141.22";"apache";"ipv4"
"52.146.15.53";"apache";"ipv4"
"52.152.170.230";"apache";"ipv4"
"52.163.223.126";"apache";"ipv4"
"52.52.152.57";"apache";"ipv4"
"52.65.71.11";"apache";"ipv4"
"52.66.82.69";"apache";"ipv4"
"52.8.239.74";"apache";"ipv4"
"54.169.168.131";"apache";"ipv4"
"54.175.21.35";"apache";"ipv4"
"54.179.132.56";"apache";"ipv4"
"54.179.185.113";"apache";"ipv4"
"54.179.46.227";"apache";"ipv4"
"54.185.12.233";"apache";"ipv4"
"54.236.1.11";"apache";"ipv4"
"54.242.167.123";"apache";"ipv4"
"54.39.23.35";"apache";"ipv4"
"54.72.22.56";"apache";"ipv4"
"59.46.124.38";"apache";"ipv4"
"60.243.55.233";"apache";"ipv4"
"61.132.170.36";"apache";"ipv4"
"61.244.70.248";"apache";"ipv4"
"61.6.230.212";"apache";"ipv4"
"61.6.232.100";"apache";"ipv4"
"61.6.232.102";"apache";"ipv4"
"61.6.232.120";"apache";"ipv4"
"61.6.232.172";"apache";"ipv4"
"61.6.235.92";"apache";"ipv4"
"61.6.247.92";"apache";"ipv4"
"62.210.178.33";"apache";"ipv4"
"62.210.178.60";"apache";"ipv4"
"62.210.180.135";"apache";"ipv4"
"62.210.180.176";"apache";"ipv4"
"62.210.207.196";"apache";"ipv4"
"62.210.211.48";"apache";"ipv4"
"62.210.7.126";"apache";"ipv4"
"62.4.25.15";"apache";"ipv4"
"63.143.98.57";"apache";"ipv4"
"63.80.186.127";"apache";"ipv4"
"63.81.82.174";"apache";"ipv4"
"63.81.91.154";"apache";"ipv4"
"64.252.66.97";"apache";"ipv4"
"64.252.69.221";"apache";"ipv4"
"64.252.74.81";"apache";"ipv4"
"64.62.252.176";"apache";"ipv4"
"64.90.48.187";"apache";"ipv4"
"65.52.232.106";"apache";"ipv4"
"66.115.181.163";"apache";"ipv4"
"66.23.238.83";"apache";"ipv4"
"66.23.252.226";"apache";"ipv4"
"67.205.12.216";"apache";"ipv4"
"67.205.173.64";"apache";"ipv4"
"67.205.61.254";"apache";"ipv4"
"67.213.221.12";"apache";"ipv4"
"68.224.82.229";"apache";"ipv4"
"68.84.169.226";"apache";"ipv4"
"69.163.224.11";"apache";"ipv4"
"69.163.224.120";"apache";"ipv4"
"69.30.225.99";"apache";"ipv4"
"72.209.140.109";"apache";"ipv4"
"73.192.213.22";"apache";"ipv4"
"73.197.2.97";"apache";"ipv4"
"73.207.209.59";"apache";"ipv4"
"74.201.28.107";"apache";"ipv4"
"74.208.168.58";"apache";"ipv4"
"76.72.175.107";"apache";"ipv4"
"78.142.210.140";"apache";"ipv4"
"78.142.210.210";"apache";"ipv4"
"78.186.210.48";"apache";"ipv4"
"79.124.62.122";"apache";"ipv4"
"8.133.179.231";"apache";"ipv4"
"80.152.157.166";"apache";"ipv4"
"80.153.94.188";"apache";"ipv4"
"80.237.92.8";"apache";"ipv4"
"80.88.88.149";"apache";"ipv4"
"81.214.63.228";"apache";"ipv4"
"81.69.252.187";"apache";"ipv4"
"81.88.52.148";"apache";"ipv4"
"81.88.52.180";"apache";"ipv4"
"82.102.16.198";"apache";"ipv4"
"82.165.122.221";"apache";"ipv4"
"83.137.229.35";"apache";"ipv4"
"84.16.231.32";"apache";"ipv4"
"84.17.58.169";"apache";"ipv4"
"84.232.226.103";"apache";"ipv4"
"84.71.193.179";"apache";"ipv4"
"85.105.97.45";"apache";"ipv4"
"85.110.101.169";"apache";"ipv4"
"87.116.191.215";"apache";"ipv4"
"87.154.249.81";"apache";"ipv4"
"87.65.203.65";"apache";"ipv4"
"88.99.136.194";"apache";"ipv4"
"89.111.200.210";"apache";"ipv4"
"89.216.175.168";"apache";"ipv4"
"89.221.217.55";"apache";"ipv4"
